3,4000046411,'3Musketeer Funsize 6P','','3 MUSKTR FUN SIZE 2.93 OZ','3Musketeer Funsize 6P','3Musketeer Funsize 6P',0,0,1,0,'FirstIRIMtch',''
6,4138761215,'4C Bread Crumbs Plain 15 OZ CAN','','4C Bread Crumbs Plain 15 OZ CAN','4C Bread Crumbs Plain 15 OZ CAN','4C Bread Crumbs Plain 15 OZ CAN',1,1,1,0,'NMIRIFuzzy',''
1142,81829001208,'Chobani Bite Greek Yogurt Raspberry w/Dark Chocolate Chips Natural - 4 ct 14 OZ PKG','','CHOBANI BITE RSPBRY DRK CHCL CHPS YOGURT RFG 4 CT 14 OZ ','Chobani Bite Greek Yogurt Raspberry w/Dark Chocolate Chips Natural - 4 ct 14 OZ PKG','Chobani Bite Greek Yogurt Raspberry w/Dark Chocolate Chips Natural - 4 ct 14 OZ PKG',0,0,1,0,'ElvnDgtIRIMtch',''
2125,2190881263,'Food Should Taste Good Tortilla Chips Olive All Natural 5.5 OZ BAG','','FOOD SHOULD TASTE GOOD TORTILLA CHIP OLIVE LOW SODIUM BAG 5.5 OZ ','Food Should Taste Good Tortilla Chips Olive All Natural 5.5 OZ BAG','Food Should Taste Good Tortilla Chips Olive All Natural 5.5 OZ BAG',0,0,1,0,'FirstIRIMtch',''
3379,7349013041,'Kedem Lt Grape Juice','','KEDEM LIGHT LITE CONCORD GRAPE JUICE DRINK 1 CT 64 OZ ','Kedem Lt Grape Juice','Kedem Lt Grape Juice',0,0,1,0,'FirstIRIMtch',''
1143,89470001051,'Chobani Champions Greek Yogurt Honey-Nana 2% Low Fat Natural - 4 ct 14 OZ PKG','','CHOBANI CHAMPIONS CHOCOLATE & HONEYNAN YOGURT RFG 4 CT 16 OZ ','Chobani Champions Greek Yogurt Honey-Nana 2% Low Fat Natural - 4 ct 14 OZ PKG','Chobani Champions Greek Yogurt Honey-Nana 2% Low Fat Natural - 4 ct 14 OZ PKG',0,0,1,0,'ElvnDgtIRIMtch',''
1145,89470001049,'Chobani Champions Greek Yogurt Verry Berry 2% Low Fat Natural - 4 ct 14 OZ PKG','','CHOBANI CHAMPIONS VERRY BERRY YOGURT RFG 4 CT 14 OZ ','Chobani Champions Greek Yogurt Verry Berry 2% Low Fat Natural - 4 ct 14 OZ PKG','Chobani Champions Greek Yogurt Verry Berry 2% Low Fat Natural - 4 ct 14 OZ PKG',0,0,1,0,'ElvnDgtIRIMtch',''
2,4000001603,'3 Musketeers Bars - 6 ct 12.7 OZ PKG','','THREE MUSKETEERS MILK CHOCOLAT NOUGAT PLASTIC BAG IWP 6 CT 12.78 OZ ','3 Musketeers Bars - 6 ct 12.7 OZ PKG','3 Musketeers Bars - 6 ct 12.7 OZ PKG',0,0,1,0,'FirstIRIMtch',''
5,4138752458,'4C Iced-T Green Tea','','4C GREEN TE W/HNY & LMN ICED TEA MIX CARDBOARD CANISTER 1 CT 640 OZ ','4C Iced-T Green Tea','4C Iced-T Green Tea',0,0,1,0,'FirstIRIMtch',''
2122,2190881266,'Fstg Multigr Tor Chip','','FSTG MLTGRN TORTILLA CHIP 11 OZ','Fstg Multigr Tor Chip','Fstg Multigr Tor Chip',0,0,1,0,'FirstIRIMtch',''
